barcode,name,spec
6901333290660,南方黑芝麻糊,
6901377002007,莲花味精,
6901377004001,莲花味精,
6901377005008,99%莲花味精,
6901668053916,奧利奧迷你巧克力餅乾,
6901668054012,亿滋卡夫/奥利奥夹心饼干/缤纷双果甜橙味+芒果味/盒食品零食 多种口味任选 儿童宝宝休闲零食 办公室小吃,106g
6901668054029,奥利奥缤纷双果味夹心饼干 树草莓+蓝莓味 盒装,106g
6901668054050,奥利奥夹心原味,130G
6924097901160,黑金刚大蘑头小蘑菇松脆小饼干(普通饼干~香浓巧克力)33298,45克
6924097901351,黑金刚卡奇脆巧克力，代可可脂(可可~其它塑料袋~可掰开的排块)4983,33克
6924097901368,黑金刚可可来代可可脂巧克力,14g
6924254673381,什锦水果罐头（岭南杂果）,
6924254673428,欢乐家桔子罐头,700g
6924254673503,糖水杨梅罐头,
6924254673572,糖水桃罐头（久宝桃）,
6924639900965,番茄调味酱,
6920761200478,加加老抽王酱油,
6920761200638,加加黄豆酱油,
6920761200669,加加鸡精,100g
6920761200676,加加鸡精鸡精调味料,
6920761200706,加加面条鲜生抽酱油,
6920761200805,加加新一代特制酱油,500ml
6920761202045,908味精,
6920761215687,加加l红烧酱油,
6920761221084,加加味精,
6920761221107,加加味精,
6920761221114,加加味精,
6938636620016,草原阿妈火锅底料 辣汤,200g
6938636620023,草原阿妈火锅底料微辣香汤,200克
6938636620030,草原阿妈清汤火锅底料,200g
6938810900491,果然多 双果卷 草莓蓝莓味/柠檬蜜桃/葡萄甜橙口味 果汁糖果零食 水果糖 多种口味 儿童零食 宝宝零食,10g
6933230630911,红烧酱油,
6933266600049,百事可乐可乐型汽水,
6933266600230,美年达橙味汽水,
6933266600384,美年达青苹果味汽水,2.0L
6911988014887,法式软面包香橙味,360g
6920790909403,凉菜调料,
6920790988668,肖家香料 白胡椒粉,30g
6920790988828,肖家香料炖肉炖排骨,35g
6920912348080,盼盼蔬菜圈蔬菜味,25g
6920912351752,盼盼蔬菜圈麦香味,25g
6920912353657,盼盼法式软面包,
6920912353671,法式软面包香蕉味,
6920920419260,恋味麻婆豆腐调料,46g
6920920419277,恋味 鱼香肉丝调味料,46g
6920920420952,恋味调味料 炖鸡料,28g
6920920420969,恋味调味料 煮肉料,28g
6920920421157,恋味调味料 炖鱼料,28g
6911988006547,可比克烧烤味薯片,45克
6911988009760,好吃点香脆杏仁饼,108g
6911988009777,好吃点香脆腰果饼,108克
6911988009784,好吃点香脆核桃饼,
6911988011619,达利园法式小面包香奶味,400克
6911988013200,可比克薯片香辣海苔味,105克
6911988013217,可比克薯片孜然串烧味,105克
6911988013224,可比克薯片韩式泡菜味,110g
6911988013262,可比克薯片韩式泡菜味,45克
6911988014832,达利园香奶味软面包,200克
6906303000409,十三香调味品,
6906303004568,王守义包子饺子料调味料,35克
6906303004582,王守义孜然调料粉,
6906303004612,王守义白胡椒粉,
6921804700788,老干妈辣三丁油辣椒,
6921804700795,风味鸡油辣椒,
6922130101034,太太乐鸡精调味料,100克
6922130101485,太太乐三鲜鸡精调味料,200g
6922165925438,紫林白米醋酿造食醋 山西醋 紫林陈醋山西特产无添加剂厨房调料,820ml
6934004601465,乐源果粒橙 复合果汁饮料（）,2.5L
6934004601472,乐源果粒橙复合果汁饮料,
6934024515803,果缤纷柠爽萄醉味复合果汁饮料,
6934024515902,果缤纷蜜桃樱桃味复合果汁饮料,
6934034500073,蔬菜卷,
6934034510171,泰美蔬菜卷,
6934284612380,芝麻香调味料,
6934284612489,肉香味调料,
6934284612533,炒菜王调味料,130g
6934284612632,麻辣王调料,
6934284612663,凉拌菜调味料,
6934284613233,李大厨酱肉味调味料,
6934483491236,冰棍绿豆爽,
6903252114188,康师傅经典香辣牛肉桶面12桶,
6903252237900,康师傅经典红油爆椒牛肉袋面,
6903252710175,康师傅经典红烧牛肉袋面,
6903252710397,康师傅经典香辣牛肉袋面,
6903252714036,康师傅丰盛经典红烧牛肉开心桶面,
6903252715415,*康师傅经典五包香辣牛肉,
6903252810394,康师傅经典香辣牛肉袋面24袋,
6903252814033,康师傅经典红烧牛肉桶面12桶,
6906303888885,王守义十三香调味料,
6906839615757,旺旺维多粒果冻爽（粒粒橙味）,
6906839615764,旺旺维多粒果冻爽（粒粒桃味）,
6906839615788,旺旺维多粒菠萝味可吸果冻,
6920658284277,旺旺果粒多果汁饮料,
6920658284284,旺旺果粒多果汁饮料,
6920761200133,加加老抽王酱油,
6942212900195,红枣干,
6942717701839,和其正凉茶(植物饮料),550ml
6926718495195,草原红太阳涮牛羊红油辣汤（汤料175g+粉料25g),200g
6926718495416,自然草本微辣香汤火锅底料,
6926718495492,草原红太阳火锅底料三鲜,150g
6926718495546,麻辣火锅底料,
6935969002489,雪花啤酒,
6935969002984,华润雪花满好听装啤酒/箱,
6936003512414,旺仔牛奶糖_原味,
6936891520652,添乐卡通王奥特曼长棒饼干 海苔味(大福源超市直供),50g
6909605227970,鸡精,
6909995113457,旺旺小小酥黑胡椒味,20克
6901668054067,奥利奥草莓夹心饼干 /盒,130g
6901668054074,奥利奥夹心巧克力,130G
6901668054173,奥利奥轻甜夹心饼干巧克力味,130g
6901668166234,卡夫鬼脸巧克力,125g
6902083890636,娃哈哈爽歪歪营养酸奶饮品,
6902083891015,娃哈哈爽歪歪营养酸奶饮品,
6902083893842,娃哈哈营养快线水果酸奶饮品（椰子味）,
6902083894757,娃哈哈营养快线水果酸奶饮品（椰子味）,
6927583100504,*12糖水草莓罐头,245克
6928013180011,奥克九宝营养鸡精,
6928013188185,味精鸡精鸡粉批发厂家供应优质鸡粉 低盐鸡粉味精鸡精,
6920143500363,大红袍中国红红汤火锅底料,
6920143500516,大红袍红汤火锅底料,150g
6920319827799,黄酒,
6911316710016,阿尔卑斯特浓奶糖条形,
6911988006486,可比克烧烤味薯片,20克
6911988006509,可比克香辣味薯片,20克
6911988006516,可比克原味薯片,20克
6911988006523,可比克蕃茄味薯片,45克
6911988006530,可比克香辣味薯片,
6902890889632,金品王中王清真牛肉风味香肠,
6902890891369,双汇Q趣弹脆香肠网兜装,
6902890891796,双汇 弹脆香肠 弹脆火腿肠 一箱 *8*10,30g
6902890892564,泡面拍档香肠,
6902890892588,泡面拍档香肠,
6920927143649,茉莉花茶调味茶饮料,
6920927181221,美汁源果粒橙橙汁饮料,450ml
6920927184239,美汁源果粒奶优清香菠萝风味水果牛奶饮料,450ml
6920927184246,美汁源果粒奶优清新草莓风味水果牛奶饮料,450ml
6920927196904,果粒奶优 水果牛奶饮料 清香菠萝风味,
6921168504022,尖叫纤维饮料运动盖,550ml
6921168532001,农夫果园30%（橙+胡萝卜+苹果+菠萝+猕猴桃+樱桃李）混合果蔬饮料,500ml
6921555581674,大今野香辣牛肉面,
6921555583845,大今野清真红烧牛肉面,
6921665704260,思念上海风味猪肉馄饨,220g
6921665712067,思念真鲜水饺 猪肉 净含量,500g
6921804700306,精制牛肉末豆豉油辣椒,
6921804700559,干煸肉丝油辣椒,
6921804700757,风味豆豉油制辣椒,
6921804700764,油辣椒,
6923450603574,彩虹(箭牌)原果味彩虹果汁糖(原果味~粒状~硬塑料盒/桶)11462,30克
6923555214392,橙汁饮料,2.5L
6923555214415,桃复合果肉饮料,
6923555215726,橙汁饮料 外箱,2.5L
6923555215740,汇源   桃果肉饮料,
6923555233270,复合果汁饮料（山楂+草莓+苹果+红葡萄+蓝莓+石榴）,1.88L
6923644262006,蒙牛纯脆雪糕,
6923721200716,妙脆角 甜辣双番味 玉米角 休闲膨化食品,40g
